Componente,Valor,Unidad,Fuente
Proximales,,,
alcohol (etanol),0,g,310
"energía, total","825 (198)
							",kJ (kcal),236
"grasa, total (lipidos totales)",3.6,g,7
"proteina, total",3.7,g,7
agua (humedad),55.7,g,7
Hidratos de Carbono,,,
"fibra, dietetica total",0,g,7
carbohidratos,37,g,7
Grasas,,,
ácido graso 22:6 n-3 (ácido docosahexaenóico),-,-,-
"ácidos grasos, monoinsaturados totales",0.88,g,7
"ácidos grasos, poliinsaturados totales",0.07,g,7
ácidos grasos saturados totales,2.3,g,7
ácido graso 12:0 (láurico),-,-,-
ácido graso 14:0 (ácido mirístico),-,-,-
ácido graso 16:0 (ácido palmítico),-,-,-
ácido graso 18:0 (ácido esteárico),-,-,-
ácido graso 18:1 n-9 cis (ácido oléico),-,-,-
colesterol,20,mg,7
ácido graso 18:2,-,-,-
ácido graso 18:3,-,-,-
ácido graso 20:4 n-6  (ácido araquidónico),-,-,-
ácido graso 20:5 (ácido eicosapentaenóico),-,-,-
Vitaminas,,,
Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,28.8,ug,7
Vitamina D,0.17,ug,7
Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,traza,mg,280
"folato, total",5,ug,7
"equivalentes de niacina, totales",1,mg,280
riboflavina,0.16,mg,7
tiamina,0.04,mg,280
Vitamina B-12,0.3,ug,7
"Vitamina B-6, Total",0.08,mg,7
Vitamina C (ácido ascórbico),1.1,mg,280
Minerales,,,
calcio,122,mg,7
"hierro, total",0.1,mg,7
potasio,154,mg,7
magnesio,13,mg,7
sodio,43,mg,7
fósforo,92,mg,7
ioduro,21,ug,280
"selenio, total",3.2,ug,280
zinc (cinc),0.32,mg,7
