Componente,Valor,Unidad,Fuente
Proximales,,,
alcohol (etanol),0,g,310
"energía, total","63 (15)
							",kJ (kcal),236
"grasa, total (lipidos totales)",traza,g,7
"proteina, total",0.3,g,7
agua (humedad),95.3,g,7
Hidratos de Carbono,,,
"fibra, dietetica total",1,g,7
carbohidratos,3.4,g,7
Grasas,,,
ácido graso 22:6 n-3 (ácido docosahexaenóico),-,-,-
"ácidos grasos, monoinsaturados totales",traza,g,61
"ácidos grasos, poliinsaturados totales",traza,g,61
ácidos grasos saturados totales,traza,g,61
ácido graso 12:0 (láurico),-,-,-
ácido graso 14:0 (ácido mirístico),-,-,-
ácido graso 16:0 (ácido palmítico),-,-,-
ácido graso 18:0 (ácido esteárico),-,-,-
ácido graso 18:1 n-9 cis (ácido oléico),-,-,-
colesterol,0,mg,7
ácido graso 18:2,-,-,-
ácido graso 18:3,-,-,-
ácido graso 20:4 n-6  (ácido araquidónico),-,-,-
ácido graso 20:5 (ácido eicosapentaenóico),-,-,-
Vitaminas,,,
Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,10.24,ug,7
Vitamina D,0,ug,7
Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,0.29,mg,7
"folato, total",1.23,ug,7
"equivalentes de niacina, totales",traza,mg,280
riboflavina,0.02,mg,7
tiamina,0.03,mg,7
Vitamina B-12,0,ug,7
"Vitamina B-6, Total",0.02,mg,7
Vitamina C (ácido ascórbico),1.26,mg,7
Minerales,,,
calcio,5.73,mg,7
"hierro, total",0.16,mg,7
potasio,77.81,mg,7
magnesio,3.28,mg,7
sodio,18,mg,7
fósforo,7.78,mg,7
ioduro,0,ug,7
"selenio, total",traza,ug,280
zinc (cinc),0,mg,7
