Componente,Valor,Unidad,Fuente
Proximales,,,
alcohol (etanol),0,g,310
"energía, total","3700 (888)
							",kJ (kcal),236
"grasa, total (lipidos totales)",100,g,30
"proteina, total",0,g,30
agua (humedad),0,g,7
Hidratos de Carbono,,,
"fibra, dietetica total",0,g,30
carbohidratos,0,g,30
Grasas,,,
ácido graso 22:6 n-3 (ácido docosahexaenóico),-,-,-
"ácidos grasos, monoinsaturados totales",17.8,g,30
"ácidos grasos, poliinsaturados totales",51.9,g,30
ácidos grasos saturados totales,25.9,g,30
ácido graso 12:0 (láurico),-,-,-
ácido graso 14:0 (ácido mirístico),1,g,286
ácido graso 16:0 (ácido palmítico),25,g,286
ácido graso 18:0 (ácido esteárico),3.3,g,286
ácido graso 18:1 n-9 cis (ácido oléico),18,g,286
colesterol,0,mg,30
ácido graso 18:2,49.5,g,286
ácido graso 18:3,0.35,g,286
ácido graso 20:4 n-6  (ácido araquidónico),-,-,-
ácido graso 20:5 (ácido eicosapentaenóico),-,-,-
Vitaminas,,,
Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,0,ug,30
Vitamina D,0,ug,310
Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,38.26,mg,30
"folato, total",0,ug,30
"equivalentes de niacina, totales",0,mg,30
riboflavina,0,mg,30
tiamina,0,mg,30
Vitamina B-12,0,ug,30
"Vitamina B-6, Total",0,mg,30
Vitamina C (ácido ascórbico),0,mg,30
Minerales,,,
calcio,0,mg,30
"hierro, total",0,mg,30
potasio,0,mg,30
magnesio,0,mg,30
sodio,0,mg,30
fósforo,0,mg,30
ioduro,0,ug,327
"selenio, total",0,ug,30
zinc (cinc),0,mg,30
