Componente,Valor,Unidad,Fuente
Proximales,,,
alcohol (etanol),0,g,310
"energía, total","1615 (388)
							",kJ (kcal),236
"grasa, total (lipidos totales)",1.1,g,7
"proteina, total",6,g,7
agua (humedad),6.3,g,7
Hidratos de Carbono,,,
"fibra, dietetica total",1.7,g,280
carbohidratos,86.6,g,7
Grasas,,,
ácido graso 22:6 n-3 (ácido docosahexaenóico),-,-,-
"ácidos grasos, monoinsaturados totales",0.6,g,280
"ácidos grasos, poliinsaturados totales",0.1,g,280
ácidos grasos saturados totales,1,g,280
ácido graso 12:0 (láurico),-,-,-
ácido graso 14:0 (ácido mirístico),-,-,-
ácido graso 16:0 (ácido palmítico),-,-,-
ácido graso 18:0 (ácido esteárico),-,-,-
ácido graso 18:1 n-9 cis (ácido oléico),-,-,-
colesterol,0,mg,7
ácido graso 18:2,-,-,-
ácido graso 18:3,-,-,-
ácido graso 20:4 n-6  (ácido araquidónico),-,-,-
ácido graso 20:5 (ácido eicosapentaenóico),-,-,-
Vitaminas,,,
Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,0,ug,280
Vitamina D,0,ug,280
Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,0,mg,280
"folato, total",167,ug,7
"equivalentes de niacina, totales",15,mg,7
riboflavina,1.3,mg,7
tiamina,1.2,mg,7
Vitamina B-12,0.8,ug,7
"Vitamina B-6, Total",1.7,mg,7
Vitamina C (ácido ascórbico),0,mg,280
Minerales,,,
calcio,453,mg,7
"hierro, total",7.9,mg,7
potasio,200.7,mg,280
magnesio,39.6,mg,280
sodio,400,mg,7
fósforo,89.3,mg,280
ioduro,4.8,ug,280
"selenio, total",9.2,ug,280
zinc (cinc),1,mg,280
