Componente,Valor,Unidad,Fuente
Proximales,,,
alcohol (etanol),0,g,310
"energía, total","204 (49)
							",kJ (kcal),236
"grasa, total (lipidos totales)",traza,g,258
"proteina, total",0.5,g,258
agua (humedad),86.8,g,258
Hidratos de Carbono,,,
"fibra, dietetica total",1.2,g,258
carbohidratos,11.5,g,258
Grasas,,,
ácido graso 22:6 n-3 (ácido docosahexaenóico),-,-,-
"ácidos grasos, monoinsaturados totales",0.1,g,38
"ácidos grasos, poliinsaturados totales",0.1,g,38
ácidos grasos saturados totales,0,g,38
ácido graso 12:0 (láurico),-,-,-
ácido graso 14:0 (ácido mirístico),-,-,-
ácido graso 16:0 (ácido palmítico),-,-,-
ácido graso 18:0 (ácido esteárico),-,-,-
ácido graso 18:1 n-9 cis (ácido oléico),-,-,-
colesterol,0,mg,258
ácido graso 18:2,-,-,-
ácido graso 18:3,-,-,-
ácido graso 20:4 n-6  (ácido araquidónico),-,-,-
ácido graso 20:5 (ácido eicosapentaenóico),-,-,-
Vitaminas,,,
Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,10,ug,310
Vitamina D,0,ug,258
Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,0.1,mg,258
"folato, total",11,ug,32
"equivalentes de niacina, totales",0.3,mg,258
riboflavina,0.02,mg,258
tiamina,0.07,mg,258
Vitamina B-12,0,ug,258
"Vitamina B-6, Total",0.09,mg,258
Vitamina C (ácido ascórbico),20,mg,258
Minerales,,,
calcio,12,mg,258
"hierro, total",0.5,mg,258
potasio,250,mg,258
magnesio,14,mg,258
sodio,2,mg,258
fósforo,11,mg,258
ioduro,4.3,ug,38
"selenio, total",traza,ug,258
zinc (cinc),0.15,mg,258
