Componente,Valor,Unidad,Fuente
Proximales,,,
alcohol (etanol),0,g,61
"energía, total","446 (107)
							",kJ (kcal),236
"grasa, total (lipidos totales)",4.324,g,61
"proteina, total",16.8,g,149
agua (humedad),77,g,149
Hidratos de Carbono,,,
"fibra, dietetica total",0,g,61
carbohidratos,0,g,61
Grasas,,,
ácido graso 22:6 n-3 (ácido docosahexaenóico),0.011,g,326
"ácidos grasos, monoinsaturados totales",0.96,g,149
"ácidos grasos, poliinsaturados totales",0.87,g,149
ácidos grasos saturados totales,1.4,g,149
ácido graso 12:0 (láurico),0.003,g,326
ácido graso 14:0 (ácido mirístico),0.046,g,326
ácido graso 16:0 (ácido palmítico),1.194,g,326
ácido graso 18:0 (ácido esteárico),0.815,g,326
ácido graso 18:1 n-9 cis (ácido oléico),1.113,g,326
colesterol,375,mg,149
ácido graso 18:2,0.683,g,326
ácido graso 18:3,0.032,g,326
ácido graso 20:4 n-6  (ácido araquidónico),0.248,g,326
ácido graso 20:5 (ácido eicosapentaenóico),0.008,g,326
Vitaminas,,,
Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,140,ug,61
Vitamina D,1,ug,149
Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,0.2,mg,149
"folato, total",55,ug,149
"equivalentes de niacina, totales",7,mg,7
riboflavina,2.2,mg,149
tiamina,0.34,mg,149
Vitamina B-12,25,ug,149
"Vitamina B-6, Total",0.48,mg,149
Vitamina C (ácido ascórbico),12,mg,149
Minerales,,,
calcio,10,mg,149
"hierro, total",8.6,mg,149
potasio,260,mg,149
magnesio,16,mg,149
sodio,184,mg,149
fósforo,260,mg,149
ioduro,6,ug,327
"selenio, total",93,ug,32
zinc (cinc),1.9,mg,61
