Componente,Valor,Unidad,Fuente
Proximales,,,
alcohol (etanol),0,g,310
"energía, total","298 (71)
							",kJ (kcal),236
"grasa, total (lipidos totales)",0,g,30
"proteina, total",0.49,g,30
agua (humedad),76.5,g,30
Hidratos de Carbono,,,
"fibra, dietetica total",0,g,30
carbohidratos,17.03,g,30
Grasas,,,
ácido graso 22:6 n-3 (ácido docosahexaenóico),-,-,-
"ácidos grasos, monoinsaturados totales",0,g,30
"ácidos grasos, poliinsaturados totales",0,g,30
ácidos grasos saturados totales,0,g,30
ácido graso 12:0 (láurico),-,-,-
ácido graso 14:0 (ácido mirístico),-,-,-
ácido graso 16:0 (ácido palmítico),-,-,-
ácido graso 18:0 (ácido esteárico),-,-,-
ácido graso 18:1 n-9 cis (ácido oléico),-,-,-
colesterol,0,mg,30
ácido graso 18:2,-,-,-
ácido graso 18:3,-,-,-
ácido graso 20:4 n-6  (ácido araquidónico),-,-,-
ácido graso 20:5 (ácido eicosapentaenóico),-,-,-
Vitaminas,,,
Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,0,ug,30
Vitamina D,0,ug,30
Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,traza,mg,30
"folato, total",traza,ug,30
"equivalentes de niacina, totales",traza,mg,30
riboflavina,traza,mg,30
tiamina,traza,mg,30
Vitamina B-12,0,ug,30
"Vitamina B-6, Total",traza,mg,30
Vitamina C (ácido ascórbico),0,mg,30
Minerales,,,
calcio,27,mg,30
"hierro, total",0.72,mg,30
potasio,112,mg,30
magnesio,12,mg,30
sodio,23,mg,30
fósforo,19,mg,30
ioduro,traza,ug,30
"selenio, total",traza,ug,30
zinc (cinc),0.08,mg,30
