Componente,Valor,Unidad,Fuente
Proximales,,,
alcohol (etanol),0,g,310
"energía, total","515 (124)
							",kJ (kcal),236
"grasa, total (lipidos totales)",5.9259,g,61
"proteina, total",5.5,g,149
agua (humedad),1.7,g,30
Hidratos de Carbono,,,
"fibra, dietetica total",0,g,149
carbohidratos,11.9,g,61
Grasas,,,
ácido graso 22:6 n-3 (ácido docosahexaenóico),-,-,-
"ácidos grasos, monoinsaturados totales",2.1,g,149
"ácidos grasos, poliinsaturados totales",0.4,g,149
ácidos grasos saturados totales,3.1,g,149
ácido graso 12:0 (láurico),-,-,-
ácido graso 14:0 (ácido mirístico),-,-,-
ácido graso 16:0 (ácido palmítico),-,-,-
ácido graso 18:0 (ácido esteárico),-,-,-
ácido graso 18:1 n-9 cis (ácido oléico),-,-,-
colesterol,100,mg,149
ácido graso 18:2,-,-,-
ácido graso 18:3,-,-,-
ácido graso 20:4 n-6  (ácido araquidónico),-,-,-
ácido graso 20:5 (ácido eicosapentaenóico),-,-,-
Vitaminas,,,
Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,103.333,ug,61
Vitamina D,0.25,ug,149
Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,0.28,mg,149
"folato, total",10,ug,149
"equivalentes de niacina, totales",0.1,mg,149
riboflavina,0.21,mg,149
tiamina,0.05,mg,149
Vitamina B-12,0.6,ug,149
"Vitamina B-6, Total",0.06,mg,149
Vitamina C (ácido ascórbico),traza,mg,149
Minerales,,,
calcio,130,mg,149
"hierro, total",0.4,mg,149
potasio,170,mg,149
magnesio,13,mg,149
sodio,78,mg,149
fósforo,130,mg,149
ioduro,23.7,ug,280
"selenio, total",16.6,ug,30
zinc (cinc),0.064,mg,61
