Componente,Valor,Unidad,Fuente
Proximales,,,
alcohol (etanol),0,g,310
"energía, total","78 (19)
							",kJ (kcal),236
"grasa, total (lipidos totales)",traza,g,7
"proteina, total",0.3,g,7
agua (humedad),95.2,g,7
Hidratos de Carbono,,,
"fibra, dietetica total",0.2,g,7
carbohidratos,4.3,g,7
Grasas,,,
ácido graso 22:6 n-3 (ácido docosahexaenóico),0,g,30
"ácidos grasos, monoinsaturados totales",traza,g,7
"ácidos grasos, poliinsaturados totales",traza,g,7
ácidos grasos saturados totales,traza,g,7
ácido graso 12:0 (láurico),-,-,-
ácido graso 14:0 (ácido mirístico),-,-,-
ácido graso 16:0 (ácido palmítico),-,-,-
ácido graso 18:0 (ácido esteárico),-,-,-
ácido graso 18:1 n-9 cis (ácido oléico),traza,g,30
colesterol,0,mg,7
ácido graso 18:2,0,g,30
ácido graso 18:3,0,g,30
ácido graso 20:4 n-6  (ácido araquidónico),0,g,30
ácido graso 20:5 (ácido eicosapentaenóico),0,g,30
Vitaminas,,,
Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,2,ug,7
Vitamina D,0,ug,310
Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,0,mg,7
"folato, total",36,ug,7
"equivalentes de niacina, totales",0.05,mg,7
riboflavina,0.01,mg,7
tiamina,0.01,mg,7
Vitamina B-12,0,ug,7
"Vitamina B-6, Total",0.01,mg,7
Vitamina C (ácido ascórbico),4.8,mg,7
Minerales,,,
calcio,38,mg,7
"hierro, total",0.15,mg,7
potasio,37,mg,7
magnesio,2,mg,7
sodio,56,mg,7
fósforo,6,mg,7
ioduro,2.3,ug,280
"selenio, total",0.2,ug,7
zinc (cinc),0.04,mg,7
