Componente,Valor,Unidad,Fuente
Proximales,,,
alcohol (etanol),0,g,310
"energía, total","1476 (354)
							",kJ (kcal),236
"grasa, total (lipidos totales)",0,g,7
"proteina, total",0.4,g,7
agua (humedad),13.4,g,7
Hidratos de Carbono,,,
"fibra, dietetica total",0,mg,280
carbohidratos,86.1,g,7
Grasas,,,
ácido graso 22:6 n-3 (ácido docosahexaenóico),-,-,-
"ácidos grasos, monoinsaturados totales",0,g,327
"ácidos grasos, poliinsaturados totales",0,g,327
ácidos grasos saturados totales,0,g,327
ácido graso 12:0 (láurico),-,-,-
ácido graso 14:0 (ácido mirístico),-,-,-
ácido graso 16:0 (ácido palmítico),-,-,-
ácido graso 18:0 (ácido esteárico),-,-,-
ácido graso 18:1 n-9 cis (ácido oléico),-,-,-
colesterol,0,mg,7
ácido graso 18:2,-,-,-
ácido graso 18:3,-,-,-
ácido graso 20:4 n-6  (ácido araquidónico),-,-,-
ácido graso 20:5 (ácido eicosapentaenóico),-,-,-
Vitaminas,,,
Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,0,ug,280
Vitamina D,0,ug,280
Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,0,mg,280
"folato, total",0,ug,280
"equivalentes de niacina, totales",0.2,mg,280
riboflavina,0,mg,28
tiamina,0,mg,28
Vitamina B-12,0,ug,280
"Vitamina B-6, Total",0,mg,280
Vitamina C (ácido ascórbico),0,mg,28
Minerales,,,
calcio,0,mg,28
"hierro, total",0,mg,28
potasio,16,mg,28
magnesio,20,mg,280
sodio,2,mg,28
fósforo,100,mg,280
ioduro,0.6,ug,327
"selenio, total",0,ug,327
zinc (cinc),0.5,mg,327
