Componente,Valor,Unidad,Fuente
Proximales,,,
alcohol (etanol),0,g,310
"energía, total","1232 (296)
							",kJ (kcal),236
"grasa, total (lipidos totales)",26.44,g,42
"proteina, total",14.93,g,42
agua (humedad),56.74,g,42
Hidratos de Carbono,,,
"fibra, dietetica total",0,g,310
carbohidratos,traza,g,236
Grasas,,,
ácido graso 22:6 n-3 (ácido docosahexaenóico),-,-,-
"ácidos grasos, monoinsaturados totales",-,-,-
"ácidos grasos, poliinsaturados totales",-,-,-
ácidos grasos saturados totales,-,-,-
ácido graso 12:0 (láurico),-,-,-
ácido graso 14:0 (ácido mirístico),-,-,-
ácido graso 16:0 (ácido palmítico),-,-,-
ácido graso 18:0 (ácido esteárico),-,-,-
ácido graso 18:1 n-9 cis (ácido oléico),-,-,-
colesterol,100,mg,310
ácido graso 18:2,-,-,-
ácido graso 18:3,-,-,-
ácido graso 20:4 n-6  (ácido araquidónico),-,-,-
ácido graso 20:5 (ácido eicosapentaenóico),-,-,-
Vitaminas,,,
Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,239.08,ug,310
Vitamina D,0.25,ug,310
Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,0.6,mg,310
"folato, total",16,ug,310
"equivalentes de niacina, totales",3.05,mg,310
riboflavina,0.3,mg,310
tiamina,0.04,mg,310
Vitamina B-12,1.55,ug,310
"Vitamina B-6, Total",0.09,mg,310
Vitamina C (ácido ascórbico),0,mg,310
Minerales,,,
calcio,485.65,mg,42
"hierro, total",0.24,mg,42
potasio,128.33,mg,42
magnesio,19.29,mg,42
sodio,497.41,mg,42
fósforo,305.84,mg,42
ioduro,-,-,-
"selenio, total",-,-,-
zinc (cinc),2.2,mg,42
