Componente,Valor,Unidad,Fuente
Proximales,,,
alcohol (etanol),0,g,38
"energía, total","556 (133)
							",kJ (kcal),236
"grasa, total (lipidos totales)",2.9,g,38
"proteina, total",7.2,g,38
agua (humedad),71.7,g,38
Hidratos de Carbono,,,
"fibra, dietetica total",4.1,g,38
carbohidratos,14.12,g,38
Grasas,,,
ácido graso 22:6 n-3 (ácido docosahexaenóico),-,-,-
"ácidos grasos, monoinsaturados totales",0.72,g,38
"ácidos grasos, poliinsaturados totales",1.3,g,38
ácidos grasos saturados totales,0.31,g,38
ácido graso 12:0 (láurico),-,-,-
ácido graso 14:0 (ácido mirístico),-,-,-
ácido graso 16:0 (ácido palmítico),-,-,-
ácido graso 18:0 (ácido esteárico),-,-,-
ácido graso 18:1 n-9 cis (ácido oléico),-,-,-
colesterol,0,mg,38
ácido graso 18:2,-,-,-
ácido graso 18:3,-,-,-
ácido graso 20:4 n-6  (ácido araquidónico),-,-,-
ácido graso 20:5 (ácido eicosapentaenóico),-,-,-
Vitaminas,,,
Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,3.5,ug,38
Vitamina D,0,ug,38
Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,1.55,mg,38
"folato, total",67,ug,38
"equivalentes de niacina, totales",1.2,mg,38
riboflavina,0.06,mg,38
tiamina,0.13,mg,38
Vitamina B-12,0,ug,38
"Vitamina B-6, Total",0.04,mg,38
Vitamina C (ácido ascórbico),traza,mg,38
Minerales,,,
calcio,43,mg,38
"hierro, total",2.8,mg,38
potasio,110,mg,38
magnesio,24,mg,38
sodio,220,mg,38
fósforo,335,mg,38
ioduro,1,ug,38
"selenio, total",1,ug,38
zinc (cinc),1.2,mg,38
