Componente,Valor,Unidad,Fuente
Proximales,,,
alcohol (etanol),0,g,38
"energía, total","2662 (639)
							",kJ (kcal),236
"grasa, total (lipidos totales)",61.6,g,38
"proteina, total",12.009,g,38
agua (humedad),5.26,g,38
Hidratos de Carbono,,,
"fibra, dietetica total",8.22,g,38
carbohidratos,10.5,g,38
Grasas,,,
ácido graso 22:6 n-3 (ácido docosahexaenóico),-,-,-
"ácidos grasos, monoinsaturados totales",48.07,g,61
"ácidos grasos, poliinsaturados totales",8.609,g,38
ácidos grasos saturados totales,4.074,g,38
ácido graso 12:0 (láurico),-,-,-
ácido graso 14:0 (ácido mirístico),-,-,-
ácido graso 16:0 (ácido palmítico),-,-,-
ácido graso 18:0 (ácido esteárico),-,-,-
ácido graso 18:1 n-9 cis (ácido oléico),-,-,-
colesterol,0,mg,38
ácido graso 18:2,-,-,-
ácido graso 18:3,-,-,-
ácido graso 20:4 n-6  (ácido araquidónico),-,-,-
ácido graso 20:5 (ácido eicosapentaenóico),-,-,-
Vitaminas,,,
Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,4.8,ug,38
Vitamina D,0,ug,38
Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,26.19,mg,38
"folato, total",71,ug,38
"equivalentes de niacina, totales",3.833,mg,38
riboflavina,0.21,mg,38
tiamina,0.39,mg,38
Vitamina B-12,0,ug,38
"Vitamina B-6, Total",0.59,mg,38
Vitamina C (ácido ascórbico),3,mg,38
Minerales,,,
calcio,226,mg,38
"hierro, total",3.8,mg,38
potasio,636,mg,38
magnesio,156,mg,38
sodio,6,mg,38
fósforo,333,mg,38
ioduro,1.5,ug,38
"selenio, total",4.5,ug,38
zinc (cinc),2.1,mg,38
