Componente,Valor,Unidad,Fuente
Proximales,,,
alcohol (etanol),0,g,38
"energía, total","361 (87)
							",kJ (kcal),236
"grasa, total (lipidos totales)",1.4,g,38
"proteina, total",17.7,g,38
agua (humedad),80.4,g,38
Hidratos de Carbono,,,
"fibra, dietetica total",0,g,38
carbohidratos,0.5,g,38
Grasas,,,
ácido graso 22:6 n-3 (ácido docosahexaenóico),-,-,-
"ácidos grasos, monoinsaturados totales",0.2,g,38
"ácidos grasos, poliinsaturados totales",0.5,g,38
ácidos grasos saturados totales,0.2,g,38
ácido graso 12:0 (láurico),-,-,-
ácido graso 14:0 (ácido mirístico),-,-,-
ácido graso 16:0 (ácido palmítico),-,-,-
ácido graso 18:0 (ácido esteárico),-,-,-
ácido graso 18:1 n-9 cis (ácido oléico),-,-,-
colesterol,105,mg,38
ácido graso 18:2,-,-,-
ácido graso 18:3,-,-,-
ácido graso 20:4 n-6  (ácido araquidónico),-,-,-
ácido graso 20:5 (ácido eicosapentaenóico),-,-,-
Vitaminas,,,
Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,traza,ug,38
Vitamina D,traza,ug,38
Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,1.5,mg,38
"folato, total",17,ug,38
"equivalentes de niacina, totales",1.3,mg,61
riboflavina,0.05,mg,38
tiamina,0.08,mg,38
Vitamina B-12,1,ug,38
"Vitamina B-6, Total",0.1,mg,38
Vitamina C (ácido ascórbico),0,mg,38
Minerales,,,
calcio,100,mg,38
"hierro, total",1,mg,38
potasio,400,mg,38
magnesio,30,mg,38
sodio,400,mg,38
fósforo,300,mg,38
ioduro,30,ug,38
"selenio, total",41.4,ug,7
zinc (cinc),0.8,mg,38
