Componente,Valor,Unidad,Fuente
Proximales,,,
alcohol (etanol),0,g,38
"energía, total","1647 (395)
							",kJ (kcal),236
"grasa, total (lipidos totales)",5,g,38
"proteina, total",8,g,38
agua (humedad),7.5,g,38
Hidratos de Carbono,,,
"fibra, dietetica total",1.5,g,38
carbohidratos,78,g,38
Grasas,,,
ácido graso 22:6 n-3 (ácido docosahexaenóico),-,-,-
"ácidos grasos, monoinsaturados totales",2.3,g,280
"ácidos grasos, poliinsaturados totales",1.2,g,280
ácidos grasos saturados totales,2,g,38
ácido graso 12:0 (láurico),-,-,-
ácido graso 14:0 (ácido mirístico),-,-,-
ácido graso 16:0 (ácido palmítico),-,-,-
ácido graso 18:0 (ácido esteárico),-,-,-
ácido graso 18:1 n-9 cis (ácido oléico),-,-,-
colesterol,0,mg,38
ácido graso 18:2,-,-,-
ácido graso 18:3,-,-,-
ácido graso 20:4 n-6  (ácido araquidónico),-,-,-
ácido graso 20:5 (ácido eicosapentaenóico),-,-,-
Vitaminas,,,
Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,2.5,ug,280
Vitamina D,0,ug,280
Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,0.9,mg,280
"folato, total",165,ug,38
"equivalentes de niacina, totales",15,mg,38
riboflavina,1.3,mg,38
tiamina,1.1,mg,38
Vitamina B-12,0.8,ug,38
"Vitamina B-6, Total",1.6,mg,38
Vitamina C (ácido ascórbico),1.1,mg,280
Minerales,,,
calcio,14,mg,280
"hierro, total",11,mg,38
potasio,186.9,mg,280
magnesio,48.9,mg,280
sodio,200,mg,281
fósforo,134.8,mg,280
ioduro,3.5,ug,280
"selenio, total",6.3,ug,280
zinc (cinc),1.4,mg,280
